Object-ID,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Type
1,ALDI 002,-84.104919,36.993332,24 S Highway 1223,,Corbin,KY,40701,,WHITLEY ,Chain
2,ALDI 044,-84.626976,37.03677,4105 S Highway 27,,Somerset,KY,42501,6188,PULASKI ,Chain
3,FOOD CITY  428,-83.70166,36.608299,102 N 12th St,,Middlesboro,KY,40965,1028,BELL ,Chain
4,FOOD CITY 0458,-82.535591,37.504242,215 Cassidy Blvd,,Pikeville,KY,41501,1426,PIKE ,Chain
5,FOOD CITY 424,-82.815857,37.816265,330 N Mayo Trl,,Paintsville,KY,41240,1804,JOHNSON ,Chain
6,FOOD CITY 425,-82.269737,37.654957,28093 US Highway 119,Thompson Plaza,S Williamson,KY,41503,3915,PIKE ,Chain
7,FOOD CITY 433,-82.630768,38.077732,70 Business US 23 N,,Louisa,KY,41230,,LAWRENCE ,Chain
8,FOOD CITY 436,-82.841904,37.122917,251 Medical Plaza Ln,,Whitesburg,KY,41858,9323,LETCHER ,Chain
9,FOOD CITY 437,-83.296417,36.83902,"2478 WOODLAND PLAZA, HWY 421",,HARLAN,KY,40831,,HARLAN ,Chain
10,FOOD CITY 438,-83.217499,37.280159,50 Morton Blvd,,Hazard,KY,41701,9447,PERRY ,Chain
11,FOOD CITY 468,-82.983826,36.97562,1314 E Main St,,Cumberland,KY,40823,1726,HARLAN ,Chain
12,FOOD CITY 471,-82.781441,37.684498,429 University Dr,,Prestonsburg,KY,41653,1071,FLOYD ,Chain
13,Food City 475,-82.509521,37.439312,2138 S Mayo Trl,,Pikeville,KY,41501,2296,PIKE ,Chain
14,HODGENVILLE SAVE A LOT,-85.733978,37.550163,102 Lincoln Dr,,Hodgenville,KY,42748,,LARUE ,Chain
15,HOUCHENS SAVE A LOT 076,-84.066444,37.095451,825 S Laurel Rd,,London,KY,40744,7958,LAUREL ,Chain
16,HOUCHENS SAVE A LOT 077,-83.873047,36.858334,786 S US Highway 25E,,Barbourville,KY,40906,,KNOX ,Chain
17,HOUCHENS SAVE A LOT 078,-84.162506,36.722878,1645 S Highway 25 W,,Williamsburg,KY,40769,1610,WHITLEY ,Chain
18,HOUCHENS SAVE A LOT 079,-84.111771,36.9258,1520 Cumberland Falls Hwy,,Corbin,KY,40701,2723,WHITLEY ,Chain
19,HOUCHENS SAVE A LOT 080,-83.736763,37.06271,"Rt 2, Box 799A",,Manchester,KY,40962,9802,CLAY ,Chain
20,HOUCHENS SAVE A LOT 082,-83.69162,37.12114,120 Garrard Sq,,Manchester,KY,40962,5759,CLAY ,Chain
